settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,religion,overall_population_2020,altitude_avg,crime_score_percent,district_name,T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,nature_rate
אזור,565,26.31,0.96,76.67,70.0,21.82,36.1,2.29,120,38.33,21.16,1.51,-0.06,0.02,0.2,1.0,0.75,3.272573726,,יהודי,13332.0,26.0,2.0477047704770475,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3581518579961481
בת ים,"6,200",24.54,1.54,74.03,62.75,9.8,27.2,1.45,"1,883",35.53,10.29,3.09,-0.35,-0.79,-0.15,0.17,-0.13,3.3092047069999997,1.011472185,יהודי,127803.0,22.0,4.7330657339812054,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4441395731922491
חולון,"6,600",28.11,0.95,76.67,65.17,23.15,41.4,2.3,"2,905",38.38,12.27,2.63,-0.14,-0.28,0.14,0.58,0.22,3.346867547,1.155096379,יהודי,197246.0,34.0,2.4289465946077486,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3968982398319
רמת השרון,"2,650",25.77,1.24,79.26,74.58,55.9,58.3,3.07,"1,028",43.39,9.0,3.28,1.65,1.71,1.09,1.67,1.58,4.266253591,,יהודי,47512.0,39.0,2.483583094797104,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.6254634355793662
אור עקיבא,"1,020",23.38,0.84,82.74,69.03,14.65,27.2,1.97,431,43.16,8.39,3.68,-0.59,-0.95,-0.26,-0.13,-0.29,-1.722137999,,יהודי,19447.0,15.0,3.1932945955674397,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.6929596996208276
זכרון יעקב,"9,300",26.7,1.11,85.53,81.65,52.58,49.3,3.56,511,38.75,12.09,2.34,1.5,1.61,1.26,0.7,0.9,-1.722137999,,יהודי,23437.0,78.0,5.20971114050433,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.9930507415409814
חדרה,"6,500",26.42,1.12,68.27,57.54,22.25,31.4,2.24,"1,767",34.8,10.37,2.91,-0.17,-0.36,0.11,0.64,0.49,-1.582837083,0.932882195,יהודי,98908.0,19.0,3.1736563270918428,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.5258436598703583
כפר קרע,654,28.04,0.48,59.82,52.79,17.97,32.5,2.63,475,38.53,9.78,3.24,-0.37,-0.23,-0.1,-0.29,-0.69,-1.724201716,,לא יהודי,19294.0,109.0,0.03109775059604022,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.6774949136674351
ערערה,637,27.24,1.21,68.07,57.78,14.85,17.9,2.32,424,31.84,12.74,2.57,-0.55,-0.54,-0.41,-1.92,-1.08,-1.807782266,,לא יהודי,25530.0,173.0,0.14492753623188406,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.6304519344801495
פוריידיס,537,26.95,0.53,72.83,46.42,8.63,17.0,1.9,326,39.26,10.51,3.13,-0.94,-0.92,-1.29,-1.88,-2.06,-1.735552161,,לא יהודי,13450.0,50.0,0.05204460966542751,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.9453684982715326
אורנית,"3,760",27.74,0.8,83.7,78.52,48.79,,3.45,169,42.6,17.55,1.8,1.11,1.23,0.95,0.97,1.65,0.20227835600000002,,יהודי,8965.0,125.0,1.1042944785276074,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.4818406167450106
אלפי מנשה,"3,750",29.09,0.45,81.2,75.21,36.51,,2.56,124,40.32,17.73,1.76,0.56,1.06,0.81,1.07,1.39,-0.20324208800000002,,יהודי,7997.0,183.0,1.6631236713767663,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.4072075004232764
אלקנה,"3,560",26.6,0.0,96.83,92.06,68.87,,6.72,152,48.03,5.96,5.11,2.6,3.52,1.46,0.73,1.08,-0.97300863,,יהודי,3911.0,228.0,1.0994630529276401,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.5924844596890779
אריאל,"3,570",25.92,2.09,90.36,77.11,24.13,37.0,11.98,329,41.95,10.8,3.11,0.08,-0.5,0.34,0.33,0.19,-1.901165472,1.116133719,יהודי,19582.0,520.0,8.308650801756716,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.336859114296932
עמנואל,"3,660",15.17,3.49,43.28,20.9,6.68,,0.79,103,23.3,10.92,2.31,-0.9,-0.81,-0.05,-0.73,-0.28,-1.9001336130000002,,יהודי,4129.0,363.0,2.5672075563090337,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.694954704023138
קדומים,"3,557",24.13,1.56,84.78,77.17,54.37,,4.17,216,47.69,6.94,4.15,0.78,1.38,0.85,0.39,-0.09,-1.9047769769999998,,יהודי,4586.0,417.0,1.439162668992586,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.3039407368128855
קרני שומרון,"3,640",27.64,0.86,76.32,67.54,38.94,,4.64,246,35.37,8.85,3.5,0.73,0.82,0.76,0.19,0.55,-1.817584923,,יהודי,9417.0,316.0,1.1468620579802484,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,1.5403731863093812
בית אל,"3,574",27.5,0.82,89.76,79.53,47.92,39.3,6.44,320,50.31,6.71,4.49,1.17,0.76,0.96,0.02,-0.28,-1.886203522,,יהודי,5684.0,853.0,22.67769176636172,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.6066587160272188
גבעת זאב,"3,730",24.19,2.09,46.94,38.37,22.05,34.9,2.91,195,32.82,27.8,0.99,-0.45,-0.47,-0.65,-1.39,-1.05,-1.589028235,,יהודי,19225.0,730.0,2.434330299089727,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.6765508154239179
הר אדר,"3,769",27.11,,90.48,88.1,55.7,,4.97,,,,,2.05,2.74,1.65,1.65,1.9,-1.9047769769999998,,יהודי,4084.0,826.0,2.693437806072478,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.8833751901384982
מודיעין עילית,"3,797",27.87,1.96,3.2,1.85,3.79,53.8,3.78,"1,058",4.35,18.85,1.07,1.79,1.56,1.31,0.02,0.6,-1.786629164,,יהודי,77967.0,293.0,3.3578308771659806,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.5696315669845436
ביתר עילית,"3,780",25.33,1.91,11.14,6.71,5.91,19.3,0.93,"1,334",10.94,15.77,2.07,-1.08,-0.53,0.11,-2.04,-0.95,-1.425478641,,יהודי,61125.0,701.0,1.4118609406952964,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,1.0047111782062188
מעלה אדומים,"3,616",24.31,0.55,87.33,77.38,24.87,43.9,3.87,"1,016",38.39,8.94,3.53,0.1,-0.21,0.33,-0.35,-0.31,-1.6432008130000002,,יהודי,37846.0,330.0,3.508957353485177,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,0.6725752679246089
אכסאל,478,27.46,0.31,59.24,50.0,13.55,24.7,2.47,395,31.9,9.81,3.12,-0.88,-1.09,-1.12,-1.15,-1.52,-1.808814124,,לא יהודי,14939.0,125.0,0.026775553919271704,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.5532087857029598
בית שאן,"9,200",22.93,1.05,64.18,50.0,13.14,30.7,2.44,473,38.9,9.07,3.58,-1.02,-1.0,-0.41,0.87,-0.35,-1.90271326,,יהודי,18705.0,-131.0,2.4271585137663725,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.0273365395244494
בסמת טבעון,944,22.94,0.73,63.01,45.89,8.11,29.5,2.05,164,36.59,12.78,2.53,-1.38,-1.44,-1.26,-0.39,-1.25,-1.6958256040000002,,לא יהודי,7997.0,189.0,4.064024009003376,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.6630609306454107
זרזיר,975,24.53,,59.73,44.97,10.02,23.0,2.2,188,35.64,12.12,2.74,-1.37,-1.2,-1.33,-1.13,-1.36,-1.699953038,,לא יהודי,8275.0,183.0,21.365558912386707,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.0230361560824042
יקנעם עילית,240,28.17,0.5,80.56,68.03,38.99,37.8,2.87,412,38.59,13.63,2.33,0.73,0.48,0.41,0.0,0.19,-1.648360106,,יהודי,24091.0,153.0,3.4535718733136855,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.0621756605575736
מגדל העמק,874,23.51,2.22,64.94,46.34,13.83,30.2,2.13,684,29.82,7.59,4.26,-0.54,-0.49,-0.64,-1.86,-1.48,-1.702532685,,יהודי,25722.0,205.0,3.374543192597776,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.6279916160753707
עפולה,"7,700",24.77,1.58,65.64,51.28,16.57,33.5,2.89,"1,026",35.58,9.14,3.39,-0.54,-0.74,-0.24,0.69,0.31,-1.84234953,0.873613557,יהודי,56769.0,144.0,4.4619422572178475,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.4277417122795801
רמת ישי,122,30.32,0.44,79.8,75.76,52.18,,4.76,80,37.5,20.69,1.43,1.27,1.27,0.96,0.89,1.06,-1.6932459569999998,,יהודי,7897.0,93.0,1.4815752817525643,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.9565436380616026
טורעאן,498,26.05,3.51,65.27,51.88,14.52,26.9,2.89,307,24.76,11.91,2.65,-0.32,-0.2,-0.8,-0.57,-0.21,-1.852152187,,לא יהודי,14436.0,244.0,0.19395954558049322,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.928137954533236
יפיע,499,26.47,1.39,69.81,60.92,12.16,37.0,3.05,424,43.63,11.57,2.72,-0.76,-0.37,-0.74,-1.07,-0.89,-1.702016756,,לא יהודי,19301.0,293.0,0.21242422672400393,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.5869384248736477
כפר כנא,509,25.71,1.37,65.75,51.16,10.77,29.6,2.53,550,31.82,11.55,2.74,-1.19,-0.89,-1.16,-1.43,-1.1,-1.813973417,,לא יהודי,23265.0,229.0,0.10315925209542232,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.7543114545378471
משהד,520,25.73,,65.08,49.21,10.59,35.0,2.7,226,33.19,10.68,2.91,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,,לא יהודי,8486.0,270.0,1.6733443318406787,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.7651474967750816
נצרת,"7,300",29.17,1.58,56.49,45.14,15.01,34.0,2.82,"1,882",36.98,9.94,3.14,-0.57,-0.44,-0.55,-0.71,-0.74,-1.808298195,,לא יהודי,77792.0,347.0,1.2533422459893049,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.6411973279833517
עילוט,511,24.22,2.87,62.58,50.32,2.94,16.0,1.17,197,28.93,11.55,2.82,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,,לא יהודי,8537.0,275.0,22.361485299285462,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.8729750469307421
עין מאהל,532,23.15,0.52,34.93,26.27,9.3,21.3,1.96,295,38.64,12.19,2.72,-0.96,-0.84,-0.94,-0.06,-0.29,-1.808298195,,לא יהודי,13568.0,403.0,0.09581367924528301,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.6847100847369946
ריינה,542,27.79,2.25,59.32,51.19,8.92,22.4,2.24,316,37.03,14.14,2.24,-1.04,-0.73,-0.81,-0.99,-1.0,-1.808298195,,לא יהודי,19141.0,318.0,0.02089754976229037,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.7280185081022897
אלעד,"1,309",25.17,1.35,28.61,20.15,11.17,16.7,1.15,"1,009",10.31,16.78,1.71,-0.87,-0.64,0.18,-1.8,-0.72,1.236200709,1.085064942,יהודי,49167.0,122.0,1.3179571663920924,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.9449532734000268
גבעת שמואל,681,28.64,0.47,90.76,88.8,57.95,62.8,5.6,447,36.02,13.09,2.37,-1.26,-0.99,-1.52,-1.85,-1.6,4.4891350569999995,,יהודי,27249.0,48.0,1.412895886087563,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4600830040530881
ג'לג'וליה,627,27.2,3.62,61.71,52.57,10.28,23.6,2.5,238,31.93,10.32,3.0,1.89,1.54,1.34,1.09,0.8,3.666227795,,לא יהודי,10356.0,37.0,1.2649671687910389,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4737948502432267
גני תקווה,229,27.48,0.82,83.61,80.33,53.99,56.2,2.91,330,35.76,13.83,2.17,0.75,0.5,0.52,0.3,-0.96,4.340031484,,יהודי,21551.0,74.0,1.289963342768317,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4485726468475886
הוד השרון,"9,700",30.15,1.39,86.5,81.11,54.35,52.1,3.18,"1,137",43.98,11.75,2.65,1.52,1.51,1.09,0.96,1.25,4.147589848,,יהודי,64489.0,37.0,3.9386562049341745,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.6484683852685377
כוכב יאיר,"1,224",26.49,0.3,93.37,89.16,62.77,55.0,5.24,115,51.3,17.92,1.73,2.17,2.12,1.44,0.82,1.21,-0.56439261,,יהודי,8735.0,95.0,1.9004006868918146,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.3964520401420327
כפר ברא,633,29.33,2.54,65.79,44.74,15.39,,3.4,111,32.43,8.84,3.27,-0.41,-0.21,-0.55,-1.48,-1.42,1.5359556419999998,,לא יהודי,3754.0,108.0,2.876931273308471,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.5137057172403245
כפר סבא,"6,900",27.2,0.79,81.36,74.48,47.69,45.6,2.64,"1,877",42.35,9.96,3.08,1.02,0.71,0.76,0.89,0.85,3.4902958980000003,0.8785504590000001,יהודי,101830.0,52.0,2.315624079347933,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4642820831485334
כפר קאסם,634,26.36,1.13,70.66,53.28,12.02,23.1,2.75,593,39.63,10.23,3.09,-0.62,-0.36,-0.63,-1.33,-0.77,1.596319372,,לא יהודי,24256.0,84.0,1.0347955145118735,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.5772397678880763
פתח תקווה,"7,900",27.67,0.73,74.84,66.9,33.22,41.8,2.52,"4,726",36.29,10.62,2.85,0.45,0.12,0.39,0.43,0.36,4.4700456719999995,1.379781524,יהודי,250484.0,31.0,2.656856326152569,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.6079341475045659
ראש העין,"2,640",26.13,0.81,75.25,67.95,34.39,38.4,3.16,"1,043",38.45,11.41,2.65,0.25,0.29,0.49,-0.11,0.33,4.158424364,,יהודי,67624.0,83.0,2.16934816041642,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.8186582688029171
רעננה,"8,700",27.25,1.19,87.75,83.76,43.8,55.8,3.54,"1,479",42.87,10.28,2.99,1.65,1.46,1.16,1.25,1.34,4.139334979,1.0322841329999999,יהודי,76277.0,48.0,2.2916475477535823,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.5888149766252598
אשדוד,70,26.76,1.19,56.99,48.27,15.32,35.1,2.11,"4,130",33.37,12.06,2.55,-0.29,-0.51,0.01,0.04,0.03,-1.77424686,1.0111904409999999,יהודי,226154.0,22.0,3.774419201075373,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.9157963674266991
אשקלון,"7,100",27.83,1.1,72.04,63.87,19.22,38.4,2.37,"2,585",33.27,10.42,3.08,-0.15,-0.49,-0.05,0.74,0.35,-1.8433813890000001,0.958378471,יהודי,146519.0,36.0,4.376906749295313,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.941640401473114
שדרות,"1,031",22.94,0.73,78.44,69.46,17.65,34.2,3.99,524,29.39,10.17,3.06,-0.72,-0.74,-0.35,0.01,-0.29,-1.645264531,0.875744263,יהודי,29074.0,89.0,5.6063837105317464,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.5801927473257064
באר יעקב,"2,530",29.06,1.14,71.27,50.91,33.83,19.6,1.91,620,30.48,9.55,3.06,-0.05,-0.02,0.3,0.63,0.75,-0.38794478299999996,,יהודי,29015.0,66.0,0.9374461485438567,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,..  ,..  ,10.0,..  ,0.3803017896796269
בית דגן,466,29.0,0.7,85.84,79.65,26.05,42.5,3.13,51,37.25,33.28,0.9,0.08,-0.12,0.15,0.91,2.29,3.3437719710000002,,יהודי,7299.0,34.0,1.0686395396629675,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,..  ,..  ,10.0,..  ,0.3551320093546036
לוד,"7,000",25.67,1.73,57.07,44.47,11.39,25.3,1.97,"1,770",33.84,10.81,2.87,-0.67,-0.88,-0.56,0.14,-0.23,-0.65519617,,ישוב מעורב,80932.0,57.0,5.738150546137498,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,..  ,..  ,10.0,..  ,0.38629889811564944
רמלה,"8,500",25.69,1.8,64.85,50.1,9.04,25.4,1.73,"1,601",30.54,11.17,2.75,-1.07,-1.09,-0.74,-0.35,-0.46,-1.115921051,0.9816224920000001,ישוב מעורב,76987.0,76.0,5.02422486913375,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,..  ,..  ,10.0,..  ,0.37909662128567395
שוהם,"1,304",26.4,0.35,91.91,88.8,59.41,64.8,5.97,429,48.95,12.38,2.57,2.14,2.17,1.52,0.1,0.45,0.731621836,,יהודי,21014.0,96.0,1.9272865708575238,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,..  ,..  ,10.0,..  ,0.8375232529297595
גדרה,"2,550",27.7,0.79,87.7,78.42,42.77,43.7,3.04,630,42.54,10.57,3.04,1.25,1.39,0.82,0.92,0.77,-1.566843274,,יהודי,28896.0,57.0,5.838178294573644,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4324259658807975
גן יבנה,166,28.24,1.05,84.54,77.32,32.69,43.2,3.79,446,41.26,13.88,2.34,-1.04,-1.24,-2.21,-2.26,-1.8,-1.6401052369999998,0.8923167790000001,יהודי,23925.0,39.0,2.6541274817136884,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.5852221511350557
יבנה,"2,660",27.2,1.98,79.77,70.43,29.65,40.3,2.51,874,36.61,10.78,2.92,-0.35,-0.18,-0.02,0.08,0.16,-1.6401052369999998,0.887582759,יהודי,49836.0,31.0,2.20523316478048,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.612376717349538
מזכרת בתיה,28,28.21,0.45,83.89,78.86,53.79,50.0,3.56,323,43.34,13.31,2.43,1.28,1.35,1.04,0.61,0.95,-1.4920335230000001,,יהודי,15093.0,62.0,1.0932220234545815,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4193084821567332
נס ציונה,"7,200",29.14,0.66,87.75,82.3,50.99,53.5,3.11,"1,034",44.1,10.44,2.97,0.52,0.6,0.55,0.34,0.4,-1.309910474,,יהודי,50706.0,39.0,2.0983710014593933,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.5891017803661638
ראשון לציון,"8,300",27.81,0.68,81.73,72.7,26.26,44.2,2.99,"3,749",44.17,11.34,2.78,0.18,0.08,0.26,0.43,0.43,0.932318341,1.176295648,יהודי,256053.0,41.0,2.8333977731172846,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4455119604703129
רחובות,"8,400",27.77,1.23,77.01,67.68,39.02,42.4,3.16,"2,695",39.07,10.62,2.9,0.71,0.63,0.56,0.69,0.51,-1.4167078430000002,0.8223730020000001,יהודי,146095.0,51.0,2.013758171053082,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4280079168719389
חיפה,"4,000",26.5,1.3,74.74,64.84,33.89,46.7,4.81,"4,669",41.34,9.83,3.07,0.84,0.67,0.67,1.06,0.6,-1.270183917,1.267745887,ישוב מעורב,283736.0,98.0,3.921250740124623,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.9569337613158728
טירת כרמל,"2,100",23.09,0.95,75.53,59.92,17.39,24.3,2.21,432,33.33,9.14,3.51,-0.93,-0.96,-0.52,0.44,-0.04,-1.463657411,,יהודי,24296.0,44.0,3.3832729667434966,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,1.2813639613498469
